totem;color;file;black/white;color;Front;Back
Filantropisch Damhert;./colors/forest.png;./damhert/damhert-wit.afpub;./colors/white.png;forest;./textil/forest-front.jpg;./textil/forest.jpg
Blijmoedige Streepmuis;./colors/navy.png;./streepmuis/streepmuis-wit.afpub;./colors/white.png;navy;./textil/forest-front.jpg;./textil/forest.jpg
Aurorawitte Stoutmoedige Pumba;./colors/black.png;./pumba/pumba-wit.afpub;./colors/white.png;Black;./textil/forest-front.jpg;./textil/forest.jpg
Amicale Golden Retriever;./colors/forest.png;./retriever/retriever-wit.afpub;./colors/white.png;forest;./textil/forest-front.jpg;./textil/forest.jpg
Betrouwbare Narwal;./colors/forest.png;./narwal/narwal-wit.afpub;./colors/white.png;forest;./textil/forest-front.jpg;./textil/forest.jpg
Kogelvis;./colors/forest.png;./kogelvis/kogelvis-wit.afpub;./colors/white.png;forest;./textil/forest-front.jpg;./textil/forest.jpg
Vlijtig Konijn;./colors/forest.png;./konijn/konijn-wit.afpub;./colors/white.png;forest;./textil/forest-front.jpg;./textil/forest.jpg
Fervente Steppelemming;./colors/forest.png;./steppelemming/steppelemming-wit.afpub;./colors/white.png;forest;./textil/forest-front.jpg;./textil/forest.jpg
Vredelievende Chimpansee;./colors/forest.png;./chimpansee/chimpansee-wit.afpub;./colors/white.png;forest;./textil/forest-front.jpg;./textil/forest.jpg
Potto;./colors/forest.png;./potto/potto-wit.afpub;./colors/white.png;forest;./textil/forest-front.jpg;./textil/forest.jpg
Ambergele oprechte Pinguïn;./colors/forest.png;./pinguin/pinguin-wit.afpub;./colors/white.png;forest;./textil/forest-front.jpg;./textil/forest.jpg
Bergbever;./colors/forest.png;./bergbever/bergbever-wit.afpub;./colors/white.png;forest;./textil/forest-front.jpg;./textil/forest.jpg
Berglemming;./colors/forest.png;./berglemming/berglemming-wit.afpub;./colors/white.png;forest;./textil/forest-front.jpg;./textil/forest.jpg
Nandoe;./colors/navy.png;./nandoe/nandoe-wit.afpub;./colors/white.png;Navy;./textil/forest-front.jpg;./textil/forest.jpg
